name,domain,route,etymology,reason,zh,syllables,letters,risk,status_zh,tier,whois_hint
Rockmere,rockmere.com,2,rock + mere,岩湖，岩石弱联想,岩湖,2,8,,已占用,—,DOMAIN NAME found
Stonewick,stonewick.com,2,stone + wick,石烛,石烛,2,9,,已占用,—,DOMAIN NAME found
Frostmere,frostmere.com,2,frost + mere,霜湖，冬章,霜湖,2,9,,已占用,—,DOMAIN NAME found
Meadowick,meadowick.com,2,meadow + wick,牧场烛,牧场烛,3,9,,可注册,S,NO MATCH
Herdhaven,herdhaven.com,2,herd + haven,羊群港,群港,3,9,,已占用,—,DOMAIN NAME found
Foldhaven,foldhaven.com,2,fold + haven,羊圈港,圈港,3,9,,已占用,—,DOMAIN NAME found
Paddockwell,paddockwell.com,2,paddock + well,围场泉,围场泉,3,11,,可注册,S,NO MATCH
Glenfold,glenfold.com,2,glen + fold,峡圈,峡圈,2,8,,已占用,—,DOMAIN NAME found
Valefold,valefold.com,2,vale + fold,谷圈,谷圈,2,8,,已占用,—,DOMAIN NAME found
Mossmere,mossmere.com,2,moss + mere,苔湖,苔湖,2,8,,已占用,—,DOMAIN NAME found
Reedmere,reedmere.com,2,reed + mere,苇湖,苇湖,2,8,,已占用,—,DOMAIN NAME found
Thornmere,thornmere.com,2,thorn + mere,刺湖，障碍感,刺湖,2,9,,已占用,—,DOMAIN NAME found
Clovermere,clovermere.com,2,clover + mere,三叶湖，可爱,三叶湖,3,10,,已占用,—,DOMAIN NAME found
Ambermere,ambermere.com,2,amber + mere,琥珀湖，秋,琥珀湖,3,9,,已占用,—,DOMAIN NAME found
Dawnmere,dawnmere.com,2,dawn + mere,黎明湖，春,黎明湖,2,8,,已占用,—,DOMAIN NAME found
Duskmere,duskmere.com,2,dusk + mere,暮湖,暮湖,2,8,,已占用,—,DOMAIN NAME found
Keenmere,keenmere.com,2,keen + mere,锐湖，策略,锐湖,2,8,,可注册,S,NO MATCH
Boldmere,boldmere.com,2,bold + mere,勇湖，进攻,勇湖,2,8,英国地名 Boldmere,已占用,—,DOMAIN NAME found
Huntmere,huntmere.com,2,hunt + mere,猎湖，弱品类,猎湖,2,8,,已占用,—,DOMAIN NAME found
Packmere,packmere.com,2,pack + mere,群湖，三狼弱联想,狼群湖,2,8,,已占用,—,DOMAIN NAME found
Gridmere,gridmere.com,2,grid + mere,格湖，棋盘,格湖,2,8,,已占用,—,DOMAIN NAME found
Leapwick,leapwick.com,2,leap + wick,跃烛,跃烛,2,8,,可注册,S,NO MATCH
Fangwick,fangwick.com,2,fang + wick,牙烛,牙烛,2,8,,可注册,S,NO MATCH
Herdmont,herdmont.com,2,herd + mont,群山,群山,2,8,,可注册,S,NO MATCH
Foldmont,foldmont.com,2,fold + mont,圈山,圈山,2,8,,可注册,S,NO MATCH
Paddockmont,paddockmont.com,2,paddock + mont,围场山,围场山,3,11,略长,可注册,B,NO MATCH
Seasonmere,seasonmere.com,2,season + mere,季湖，四季,季湖,3,10,,可注册,S,NO MATCH
Foldly,foldly.com,3,fold + -ly,羊圈式空壳,圈式,2,6,,已占用,—,DOMAIN NAME found
Herdly,herdly.com,3,herd + -ly,群式,群式,2,6,,已占用,—,DOMAIN NAME found
Paddockly,paddockly.com,3,paddock + -ly,围场式,围场式,3,9,,已占用,—,DOMAIN NAME found
Flockly,flockly.com,3,flock + -ly,羊群式,群式,2,7,,已占用,—,DOMAIN NAME found
Fangly,fangly.com,3,fang + -ly,牙式，短,牙式,2,6,,已占用,—,DOMAIN NAME found
Leaply,leaply.com,3,leap + -ly,跃式,跃式,2,6,,已占用,—,DOMAIN NAME found
Rockly,rockly.com,3,rock + -ly,岩式,岩式,2,6,,已占用,—,DOMAIN NAME found
Foldio,foldio.com,3,fold + -io,圈io,圈,3,6,,已占用,—,DOMAIN NAME found
Herdio,herdio.com,3,herd + -io,群io,群,3,6,,已占用,—,DOMAIN NAME found
Paddockio,paddockio.com,3,paddock + -io,围场io,围场,3,9,,可注册,S,NO MATCH
Meadowly,meadowly.com,3,meadow + -ly,牧场式,牧场式,3,8,,已占用,—,DOMAIN NAME found
Cloverly,cloverly.com,3,clover + -ly,三叶式，可爱,三叶式,3,8,,已占用,—,DOMAIN NAME found
Thornly,thornly.com,3,thorn + -ly,刺式，障碍,刺式,2,7,,已占用,—,DOMAIN NAME found
Amberly,amberly.com,3,amber + -ly,琥珀式,琥珀式,3,7,Amberly 人名感,已占用,—,DOMAIN NAME found
Frostly,frostly.com,3,frost + -ly,霜式,霜式,2,7,,已占用,—,DOMAIN NAME found
Dawnly,dawnly.com,3,dawn + -ly,黎明式,黎明式,2,6,,已占用,—,DOMAIN NAME found
Duskly,duskly.com,3,dusk + -ly,暮式,暮式,2,6,,已占用,—,DOMAIN NAME found
Keenfold,keenfold.com,3,keen + fold,锐圈合体,锐圈,2,8,,已占用,—,DOMAIN NAME found
Boldfold,boldfold.com,3,bold + fold,勇圈合体,勇圈,2,8,,已占用,—,DOMAIN NAME found
Softfold,softfold.com,3,soft + fold,软圈，可爱外壳,软圈,2,8,,已占用,—,DOMAIN NAME found
Quickfold,quickfold.com,3,quick + fold,快圈，碎片对局,快圈,2,9,,已占用,—,DOMAIN NAME found
Brightfold,brightfold.com,3,bright + fold,亮圈,亮圈,2,10,,已占用,—,DOMAIN NAME found
Clearfold,clearfold.com,3,clear + fold,清圈,清圈,2,9,,已占用,—,DOMAIN NAME found
Truefold,truefold.com,3,true + fold,真圈,真圈,2,8,,已占用,—,DOMAIN NAME found
Evenfold,evenfold.com,3,even + fold,平圈，策略均衡,平圈,3,8,,已占用,—,DOMAIN NAME found
Stillfold,stillfold.com,3,still + fold,静圈,静圈,2,9,,已占用,—,DOMAIN NAME found
Calmfold,calmfold.com,3,calm + fold,安圈,安圈,2,8,,已占用,—,DOMAIN NAME found
Fairfold,fairfold.com,3,fair + fold,公圈,公圈,2,8,,已占用,—,DOMAIN NAME found
Northfold,northfold.com,3,north + fold,北圈,北圈,2,9,,已占用,—,DOMAIN NAME found
Westfold,westfold.com,3,west + fold,西圈，注意洛环西境,西圈,2,8,魔戒 Westfold 近,已占用,—,DOMAIN NAME found
Eastfold,eastfold.com,3,east + fold,东圈,东圈,2,8,,已占用,—,DOMAIN NAME found
Southfold,southfold.com,3,south + fold,南圈,南圈,2,9,,已占用,—,DOMAIN NAME found
Tinyfold,tinyfold.com,3,tiny + fold,小圈，网页小品,小圈,3,8,,已占用,—,DOMAIN NAME found
