name,domain,route,etymology,reason,zh,syllables,letters,risk,status_zh,tier,whois_hint
Brookstone,brookstone.com,2,brook + stone,溪石，自然稳重,「溪石」,2,10,,已占用,—,DOMAIN NAME found
Fairmont,fairmont.com,2,fair + mont,秀山，酒店地名感,「秀山」,2,8,Fairmont 酒店品牌,已占用,—,DOMAIN NAME found
Greenwich,greenwich.com,2,green + wich,绿地，地名感,「绿地」,2,9,格林威治知名,已占用,—,DOMAIN NAME found
Westbrook,westbrook.com,2,west + brook,西溪，常见但好读,「西溪」,2,9,常见姓氏/地名,已占用,—,DOMAIN NAME found
Clearmont,clearmont.com,2,clear + mont,清山，透明,「清山」,2,9,,已占用,—,DOMAIN NAME found
Steadmont,steadmont.com,2,stead + mont,稳山，可靠,「稳山」,2,9,,已占用,—,DOMAIN NAME found
Truehaven,truehaven.com,2,true + haven,真港，诚实庇护,「真港」,3,9,,已占用,—,DOMAIN NAME found
Levelmere,levelmere.com,2,level + mere,平湖，公正,「平湖」,3,9,,可注册,S,NO MATCH
Calmfield,calmfield.com,2,calm + field,静野，沉稳,「静野」,2,9,,已占用,—,DOMAIN NAME found
Evenwood,evenwood.com,2,even + wood,平林，均衡可信,「平林」,3,8,,已占用,—,DOMAIN NAME found
Stillmont,stillmont.com,2,still + mont,静山，平静,「静山」,2,9,,已占用,—,DOMAIN NAME found
Brightmere,brightmere.com,2,bright + mere,亮湖，明朗,「亮湖」,2,10,,已占用,—,DOMAIN NAME found
Glenhaven,glenhaven.com,2,glen + haven,峡谷港，苏格兰地名感,「峡港」,3,9,,已占用,—,DOMAIN NAME found
Millbrook,millbrook.com,2,mill + brook,磨坊溪，经典,「磨溪」,2,9,常见地名,已占用,—,DOMAIN NAME found
Windmere,windmere.com,2,wind + mere,风湖，流动感,「风湖」,2,8,,已占用,—,DOMAIN NAME found
Goldcrest,goldcrest.com,2,gold + crest,金顶，品质感,「金顶」,2,9,,已占用,—,DOMAIN NAME found
Silvermere,silvermere.com,2,silver + mere,银湖，质感,「银湖」,3,10,,已占用,—,DOMAIN NAME found
Copperwell,copperwell.com,2,copper + well,铜井，朴实,「铜井」,3,10,,已占用,—,DOMAIN NAME found
Ashbourne,ashbourne.com,2,ash + bourne,灰溪镇，英式地名,「灰溪」,2,9,,已占用,—,DOMAIN NAME found
Hartwell,hartwell.com,2,hart + well,鹿井，经典地名,「鹿井」,2,8,常见地名,已占用,—,DOMAIN NAME found
Kingsford,kingsford.com,2,king + ford,王津，地名感,「王津」,2,9,常见地名,已占用,—,DOMAIN NAME found
Finchwell,finchwell.com,3,finch + well,雀泉，动物+自然轻组合,「雀泉」,2,9,,已占用,—,DOMAIN NAME found
Heronly,heronly.com,3,heron + -ly,鹭式，动物变形,「鹭」,3,7,,已占用,—,DOMAIN NAME found
Steadio,steadio.com,3,stead + -io,稳，steady 变形,「稳」,3,7,,已占用,—,DOMAIN NAME found
Anchorly,anchorly.com,3,anchor + -ly,锚，可靠,「锚」,3,8,,已占用,—,DOMAIN NAME found
Compassio,compassio.com,3,compass + -io,罗盘，方向感,「罗盘」,3,9,compass 常见,已占用,—,DOMAIN NAME found
Ledgerly,ledgerly.com,3,ledger + -ly,账本，记录追踪弱联想,「账本地」,3,8,Ledger 加密品牌,已占用,—,DOMAIN NAME found
Badgerly,badgerly.com,3,badger + -ly,獾，好记动物,「獾」,3,8,,已占用,—,DOMAIN NAME found
Osprey,osprey.com,3,osprey 鱼鹰,鱼鹰，敏锐,「鱼鹰」,2,6,Osprey 背包品牌,已占用,—,DOMAIN NAME found
Merlino,merlino.com,3,merlin + -o,隼，智慧,「隼」,3,7,Merlin 常见,已占用,—,DOMAIN NAME found
Candidly,candidly.com,3,candid + -ly,坦诚，诚实测量气质,「坦诚」,3,8,副词感,已占用,—,DOMAIN NAME found
Levelly,levelly.com,3,level + -ly,平等，Linear 感,「平」,3,7,,已占用,—,DOMAIN NAME found
Plumbly,plumbly.com,3,plumb + -ly,垂直精准，测量弱联想,「精准」,2,7,,已占用,—,DOMAIN NAME found
Evenly,evenly.com,3,even + -ly,均衡，统计感,「均衡」,3,6,evenly 常见英文词,已占用,—,DOMAIN NAME found
Steadly,steadly.com,3,stead + -ly,稳固,「稳固」,2,7,,已占用,—,DOMAIN NAME found
Cranely,cranely.com,3,crane + -ly,鹤，优雅,「鹤」,2,7,,已占用,—,DOMAIN NAME found
Wrenly,wrenly.com,3,wren + -ly,鹪鹩，小巧灵动,「鹪鹩」,2,6,,已占用,—,DOMAIN NAME found
Larkly,larkly.com,3,lark + -ly,云雀，轻盈,「云雀」,2,6,,已占用,—,DOMAIN NAME found
Dovewell,dovewell.com,3,dove + well,鸽泉，平和,「鸽泉」,2,8,,已占用,—,DOMAIN NAME found
Hartly,hartly.com,3,hart + -ly,鹿，自然,「鹿」,2,6,,已占用,—,DOMAIN NAME found
Elmwell,elmwell.com,3,elm + well,榆泉，温润,「榆泉」,2,7,,已占用,—,DOMAIN NAME found
Ashly,ashly.com,3,ash + -ly,灰树，短,「灰」,2,5,Ashley 近音,已占用,—,DOMAIN NAME found
Birchly,birchly.com,3,birch + -ly,桦，清新,「桦」,2,7,,已占用,—,DOMAIN NAME found
Fernly,fernly.com,3,fern + -ly,蕨，自然,「蕨」,2,6,,已占用,—,DOMAIN NAME found
Mossly,mossly.com,3,moss + -ly,苔，沉稳,「苔」,2,6,,已占用,—,DOMAIN NAME found
Reedly,reedly.com,3,reed + -ly,芦苇，柔韧,「苇」,2,6,,已占用,—,DOMAIN NAME found
Brookly,brookly.com,3,brook + -ly,溪，流畅,「溪」,2,7,Brooklyn 近音,已占用,—,DOMAIN NAME found
Glenly,glenly.com,3,glen + -ly,峡谷，地名感,「峡」,2,6,,已占用,—,DOMAIN NAME found
Valewell,valewell.com,3,vale + well,谷泉，田园,「谷泉」,2,8,,已占用,—,DOMAIN NAME found
Moorwell,moorwell.com,3,moor + well,沼泉，英式,「沼泉」,2,8,,已占用,—,DOMAIN NAME found
Fieldwell,fieldwell.com,3,field + well,野泉，开阔,「野泉」,2,9,,已占用,—,DOMAIN NAME found
Havenly,havenly.com,3,haven + -ly,港式，庇护,「港」,3,7,Havenly 家居品牌,已占用,—,DOMAIN NAME found
Portwell,portwell.com,3,port + well,港泉，通达,「港泉」,2,8,,已占用,—,DOMAIN NAME found
Baywell,baywell.com,3,bay + well,湾泉，短组合,「湾泉」,2,7,,已占用,—,DOMAIN NAME found
